Library	License	Homepage	About	Memo
boost-rational	BSL-1.0	https://github.com/boostorg/rational	Boost rational module	
boost-regex	BSL-1.0	https://github.com/boostorg/regex	Boost regex module	
boost-safe-numerics	BSL-1.0	https://github.com/boostorg/safe_numerics	Boost safe_numerics module	
boost-scope-exit	BSL-1.0	https://github.com/boostorg/scope_exit	Boost scope_exit module	
boost-serialization	BSL-1.0	https://github.com/boostorg/serialization	Boost serialization module	
boost-signals2	BSL-1.0	https://github.com/boostorg/signals2	Boost signals2 module	
boost-smart-ptr	BSL-1.0	https://github.com/boostorg/smart_ptr	Boost smart_ptr module	
boost-sort	BSL-1.0	https://github.com/boostorg/sort	Boost sort module	
boost-spirit	BSL-1.0	https://github.com/boostorg/spirit	Boost spirit module	
boost-stacktrace	BSL-1.0	https://github.com/boostorg/stacktrace	Boost stacktrace module	
boost-statechart	BSL-1.0	https://github.com/boostorg/statechart	Boost statechart module	
boost-static-assert	BSL-1.0	https://github.com/boostorg/static_assert	Boost static_assert module	
boost-static-string	BSL-1.0	https://github.com/boostorg/static_string	Boost static_string module	
boost-stl-interfaces	BSL-1.0	https://github.com/boostorg/stl_interfaces	Boost stl_interfaces module	
boost-system	BSL-1.0	https://github.com/boostorg/system	Boost system module	
boost-test	BSL-1.0	https://github.com/boostorg/test	Boost test module	
boost-thread	BSL-1.0	https://github.com/boostorg/thread	Boost thread module	
boost-throw-exception	BSL-1.0	https://github.com/boostorg/throw_exception	Boost throw_exception module	
boost-timer	BSL-1.0	https://github.com/boostorg/timer	Boost timer module	
boost-tokenizer	BSL-1.0	https://github.com/boostorg/tokenizer	Boost tokenizer module	
boost-tti	BSL-1.0	https://github.com/boostorg/tti	Boost tti module	
boost-tuple	BSL-1.0	https://github.com/boostorg/tuple	Boost tuple module	
boost-type-erasure	BSL-1.0	https://github.com/boostorg/type_erasure	Boost type_erasure module	
boost-type-index	BSL-1.0	https://github.com/boostorg/type_index	Boost type_index module	
boost-type-traits	BSL-1.0	https://github.com/boostorg/type_traits	Boost type_traits module	
boost-typeof	BSL-1.0	https://github.com/boostorg/typeof	Boost typeof module	
boost-ublas	BSL-1.0	https://github.com/boostorg/ublas	Boost ublas module	
boost-uninstall	MIT		Internal vcpkg port used to uninstall Boost	
boost-units	BSL-1.0	https://github.com/boostorg/units	Boost units module	
boost-unordered	BSL-1.0	https://github.com/boostorg/unordered	Boost unordered module	
boost-url	BSL-1.0	https://github.com/boostorg/url	Boost url module	
boost-utility	BSL-1.0	https://github.com/boostorg/utility	Boost utility module	
boost-uuid	BSL-1.0	https://github.com/boostorg/uuid	Boost uuid module	
boost-variant	BSL-1.0	https://github.com/boostorg/variant	Boost variant module	
boost-variant2	BSL-1.0	https://github.com/boostorg/variant2	Boost variant2 module	
boost-vcpkg-helpers	MIT		Internal vcpkg port used to modularize Boost	
boost-vmd	BSL-1.0	https://github.com/boostorg/vmd	Boost vmd module	
boost-wave	BSL-1.0	https://github.com/boostorg/wave	Boost wave module	
boost-winapi	BSL-1.0	https://github.com/boostorg/winapi	Boost winapi module	
boost-xpressive	BSL-1.0	https://github.com/boostorg/xpressive	Boost xpressive module	
boost-yap	BSL-1.0	https://github.com/boostorg/yap	Boost yap module	
boringssl		https://boringssl.googlesource.com/boringssl	BoringSSL is a fork of OpenSSL developed by Google	
botan	BSD-2-Clause	https://botan.randombit.net	A cryptography library written in C++11	
box2d		https://box2d.org	An open source C++ engine for simulating rigid bodies in 2D	
braft	Apache-2.0	https://github.com/baidu/braft	Consesus algorithm library	
breakpad	BSD-3-Clause	https://github.com/google/breakpad	a set of client and server components which implement a crash-reporting system.	
brigand		https://github.com/edouarda/brigand	Brigand is a light-weight, fully functional, instant-compile time C++ 11 meta-programming library.	
brotli	MIT	https://github.com/google/brotli	a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling.	
brpc	Apache-2.0	https://github.com/apache/incubator-brpc	Industrial-grade RPC framework used throughout Baidu, with 1,000,000+ instances and thousands kinds of services, called "baidu-rpc" inside Baidu.	
brunocodutra-metal			A single header C++11 library designed to make you love template metaprogramming	
brynet		https://github.com/IronsDu/brynet	A C++ header only cross platform high performance tcp network library, and support SSL/HTTP/Websocket.	
bshoshany-thread-pool	MIT	https://github.com/bshoshany/thread-pool	BS::thread_pool: a fast, lightweight, and easy-to-use C++17 thread pool library	
bsio		https://github.com/ArkNX/bsio	networking library, ans support HTTP/WebSocket, based on asio.	
buck-yeh-bux	MIT	https://github.com/buck-yeh/bux	A supplemental C++ library with functionalities not directly supported from Modern C++ standard.	
buck-yeh-bux-mariadb-client	MIT	https://github.com/buck-yeh/bux-mariadb-client	Loose-coupled throw-on-error C++20 wrapper classes and utilities over mysql/mariadb Connector/C API	
buck-yeh-bux-sqlite	MIT	https://github.com/buck-yeh/bux-sqlite	Modern C++ wrapper classes and utilities of the original sqlite3 API	
bullet3	Zlib	https://github.com/bulletphysics/bullet3	Bullet Physics is a professional collision detection, rigid body, and soft body dynamics library	
bustache	BSL-1.0	https://github.com/jamboree/bustache	C++11 implementation of {{ mustache }}	
butteraugli		https://github.com/google/butteraugli	butteraugli estimates the psychovisual difference between two images	
byte-lite			A C++17-like byte type for C++98, C++11 and later in a single-file header-only library	
bzip2	bzip2-1.0.6	https://sourceware.org/bzip2/	bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression.	
c-ares	MIT-CMU	https://github.com/c-ares/c-ares	A C library for asynchronous DNS requests	
c-dbg-macro		https://github.com/eerimoq/dbg-macro	A dbg(...) macro for C	
c4core	MIT	https://github.com/biojppm/c4core	Library of low-level C++ utilities	
c89stringutils	Apache-2.0 OR MIT		string functions from newer standards / common non-standards for C89	
c9y	MIT	https://github.com/rioki/c9y	Concurency	
caf	BSD-3-Clause	https://github.com/actor-framework/actor-framework	an open source implementation of the actor model for C++ featuring lightweight & fast actor implementations, pattern matching for messages, network transparent messaging, and more.	
caffe2	Apache-2.0	https://github.com/caffe2/caffe2	Caffe2 is a lightweight, modular, and scalable deep learning framework.	
cairo	MPL-1.1	https://cairographics.org	Cairo is a 2D graphics library with support for multiple output devices. Currently supported output targets include the X Window System (via both Xlib and XCB), Quartz, Win32, image buffers, PostScript, PDF, and SVG file output. Experimental backends include OpenGL, BeOS, OS/2, and DirectFB.	
cairomm	LGPL-2.0-only	https://www.cairographics.org	A C++ wrapper for the cairo graphics library	
calceph	CECILL-2.1 OR CECILL-B OR CECILL-C	https://www.imcce.fr/inpop/calceph/	C library to access the binary planetary ephemeris files.	
camport3		https://github.com/percipioxyz/camport3	percipio.xyz cameras SDK	
capnproto	MIT	https://capnproto.org/	Data interchange format and capability-based RPC system	
capstone		https://github.com/capstone-engine/capstone	Multi-architecture disassembly framework	
cargs		https://likle.github.io/cargs/	A lightweight cross-platform getopt alternative that works on Linux, Windows and macOS. Command line argument parser library for C/C++. Can be used to parse argv and argc parameters.	
cartographer		https://github.com/googlecartographer/cartographer	Google 2D & 3D SLAM package	
casclib		http://www.zezula.net/en/casc/casclib.html	An open-source implementation of library for reading CASC storage from Blizzard games since 2014	
catch			Deprecated alias for Catch2 unit testing framework	
catch-classic		https://github.com/catchorg/Catch2	['A modern, header-only test framework for unit tests', 'This is specifically the legacy 1.x branch provided for compatibility', 'with older compilers.']	
catch2	BSL-1.0	https://github.com/catchorg/Catch2	A modern, header-only test framework for unit testing.	
cccapstone		https://github.com/zer0mem/cccapstone	c++ bindings for capstone disasembly framework	
ccd	BSD-3-Clause	https://github.com/danfis/libccd	Library for collision detection between two convex shapes	
ccfits	NASA-1.3	https://heasarc.gsfc.nasa.gov/fitsio/CCfits/	CCfits is an object oriented interface to the cfitsio library. It is designed to make the capabilities of cfitsio available to programmers working in C++.	
cctag	MPL-2.0	https://github.com/alicevision/CCTag	Computer vision library for detecting CCTag markers made up of concentric circles	
cctz		https://github.com/google/cctz	two libraries that cooperate with <chrono> to give C++ programmers all the necessary tools for computing with dates, times, and time zones in a simple and correct manner.	
celero	Apache-2.0	https://github.com/DigitalInBlue/Celero	Celero is a modern cross-platform (Windows, Linux, MacOS) Microbenchmarking library for C++ 11 and later.	
cello		https://libcello.org/	Higher level programming in C	
cereal	BSD-3-Clause	https://github.com/USCiLab/cereal	a header-only C++11 serialization library (built in support for binary, XML and JSon)	
ceres	Apache-2.0	https://github.com/ceres-solver/ceres-solver	non-linear optimization package	
cfitsio		https://heasarc.gsfc.nasa.gov/fitsio/	Library of C and Fortran subroutines for reading and writing data files in FITS (Flexible Image Transport System) data format	
cgal	GPL-3.0-or-later AND LGPL-3.0-or-later AND BSL-1.0	https://github.com/CGAL/cgal	The Computational Geometry Algorithms Library (CGAL) is a C++ library that aims to provide easy access to efficient and reliable algorithms in computational geometry.	
cgicc		https://www.gnu.org/software/cgicc/	GNU Cgicc is an ANSI C++ compliant class library that greatly simplifies the creation of CGI applications for the World Wide Web	
cglm	MIT	https://github.com/recp/cglm	Highly Optimized Graphics Math (glm) for C	
cgltf	MIT	https://github.com/jkuhlmann/cgltf	Single-file glTF 2.0 loader and writer written in C99	
cgns	Zlib	http://cgns.org/	The CFD General Notation System (CGNS) provides a standard for recording and recovering computer data associated with the numerical solution of fluid dynamics equations.	
chaiscript		https://github.com/ChaiScript/ChaiScript	Embedded Scripting Language Designed for C++	
chakracore	MIT	https://github.com/Microsoft/ChakraCore	Core part of the Chakra Javascript engine	
charls	BSD-3-Clause	https://github.com/team-charls/charls	CharLS, a C++ JPEG-LS library implementation.	
chartdir	None	https://www.advsofteng.com/	ChartDirector is a powerful chart component for creating professional looking charts for web and windows applications.	
check	LGPL-2.1-only	https://github.com/libcheck/check	A unit testing framework for C	
chipmunk		https://github.com/slembcke/Chipmunk2D	A fast and lightweight 2D game physics library.	
chmlib	LGPL-2.1-or-later	http://www.jedrea.com/chmlib/	CHMLIB is a library for dealing with Microsoft ITSS/CHM format files. Right now, it is a very simple library, but sufficient for dealing with all of the .chm files I've come across. Due to the fairly well-designed indexing built into this particular file format, even a small library is able to gain reasonably good performance indexing into ITSS archives.	
chromaprint	LGPL-2.1-or-later	https://github.com/acoustid/chromaprint	C library for generating audio fingerprints used by AcoustID	
chromium-base	BSD-3-Clause	https://chromium.googlesource.com/chromium/src	Chromium is an open-source browser project that aims to build a safer, faster, and more stable way for all users to experience the web.	
chronoengine	BSD-3-Clause	http://projectchrono.org/	Multi-physics Simulation Engine.	
cimg		https://github.com/dtschump/CImg	The CImg Library is a small, open-source, and modern C++ toolkit for image processing	
cista	MIT	https://github.com/felixguendling/cista	Cista is a simple, high-performance, zero-copy C++ serialization & reflection library.	
cityhash		https://github.com/google/cityhash	CityHash, a family of hash functions for strings.	
civetweb		https://github.com/civetweb/civetweb	Easy to use, powerful, C/C++ embeddable web server.	
cjson	MIT	https://github.com/DaveGamble/cJSON	Ultralightweight JSON parser in ANSI C	
clamav		https://www.clamav.net	ClamAV is an open-source anti-virus toolkit.	
clapack		https://www.netlib.org/clapack	CLAPACK (f2c'ed version of LAPACK)	
clara		https://github.com/philsquared/Clara	A simple to use command line parser for C++	
